T,D,P
内面,"[명사] 1.내면 2.안쪽, 내부 3.사람 의 정신·심리 (방면)",ないめん,
影響,"[명사, ス자동사] 영향, 사물의 효과나 작용이 다 른 것에 미치는 일",えいきょう,
幸福,"[명사, ダナ] 행복(함)",こうふく,
悲観的,[ダナ] 비관적,ひかんてき,
絵技法,[명사] 기법,ぎほう,
論理,[명사] 논리,ろんり,
種類,[명사] 종류,しゅるい,
最大,"[명사] 최대, 가장 큼",さいだい,
希薄,"[명사ノナ] 1.희박 2.(기체·액체의 밀 도·농도가) 묽음, 엷음 3.열의 등이 적음",きはく,
左右,"[명사] 1.좌우 2.곁, 측근 / [명사, ス타동사] / [좌우함, 좌지우지함.]",さゆう,
比較的,[부사] 비교적),ひかくてき,
供給,"[명사, ス타동사] 공급",きょうきゅう,
大抵,"[부사, ノナ] 1.대개, 대부분, 대강 2.정도껏, 적당 히 3.정말, 아주",たいてい,
試験,"[명사, ス타동사] 1.시험, 테스트",しけん,
焦点,[명사] 1.초점,しょうてん,
江南,[명사] 강남,こうなん,
反抗,"[명사, ス자동사] 반항",はんこう,
要求,"[명사, ス타동사] 요구, 상대에게 강하게 청하는 것",ようきゅう,
活動,"[명사, ス자동사] 1.활동",かつどう,
百害無益,[명사] 백해무익,ひゃくがいむえき,
基本,[명사] 기본,きほん,
衝撃的,[ダナ] 충격적,しょうげきてき,
教徒,"[명사] 교도, 신도",きょうと,
経験者,[명사] 경험자,けいけんしゃ,
生活,"[명사, ス자동사] 1.생활 2.생물이 존재하고 활동하는 것 3.삶, 사람이 세상에서 살아가는 것",せいかつ,
当然,"[명사, ダナ] 당연(함)",とうぜん,
真実,"[명사, ダナノ] 1.진실 2.참, 정말 / [부사] / [참말로, 정말로.]",しんじつ,
浮気,"[명사ノナ] 1.변덕, 마음이 들떠 잘 변함 2.바람기",うわき,
統制,"[명사, ス타동사] 통제",とうせい,
留意,"[명사, ス자동사] 유의",りゅうい,
苦心,"[명사, ス자동사] 고심",くしん,
価値判断,[명사] 가치 판단,かちはんだん,
完全,"[명사, ダナ] 완전",かんぜん,
最悪,"[명사, ダナ] 최악",さいあく,
両手,"[명사] 1.양수, 두 손",りょうて,
無限,"[명사, ダナ] 무한",むげん,
総量,"[명사] 총량, 총분량",そうりょう,
断滅,"[명사, ス자동사·타동사] 단멸, 단절하여 멸망함[시킴]",だんめつ,
科学,[명사] 과학,かがく,
判断,"[명사, ス타동사] 1.판단 2.생각해서 확실한 결심을 내림 3.점, 길흉의 판단",はんだん,
特別,"[부사, ダナノ] 1.특별(히) 2.별로, 그다지",とくべつ,
必須,[명사] 필수,ひっす,
立派,"[ダナ] 1.훌륭함, 아주 뛰어남 2.당당 함, 정당함, 어 엿함 3.더할 나위 없음, 충분함, 완전함",りっぱ,
相違点,[명사] 상위점,そういてん,
遺棄,"[명사, ス타동사] 유기",いき,
一日,"[명사] 1.일일 2.하루 3.아침부터 저녁까지, 하루 종일",いちにち,
映像,"[명사] 1.영상 2.(영화나 TV 등의) 화상 3.머릿속에 떠오르는 사물의 모양, 이미지, 심상",えいぞう,
本文,[명사] 본문,ほんぶん,
大部分,"[명사] 대부분, 거의",だいぶぶん,
我慢,"[명사, ス타동사] 1.참음, 견딤, 자제 2.용서함, 봐줌 3.불교 아만, 자기를 훌륭히 생각하고 남을 깔봄",がまん,
偽物,"[명사] 가짜 (물건), 위조품",にせもの,
付与,"[명사, ス타동사] 부여, (내려) 줌",ふよ,
砂漠,[명사] 사막,さばく,
操縦桿,[명사] 조종간,そうじゅうかん,
